PUID,SOLUTION
15743,0
15744,0
15745,0
15746,1
15747,0
15748,0
15749,0
15750,0
15751,0
15752,0
15753,0
15754,0
15755,0
15756,0
15757,1
15758,0
15759,0
15760,0
15761,0
15762,0
15763,0
15764,0
15765,0
15766,0
15767,0
15768,0
15769,0
15770,1
15771,1
15772,0
15773,0
15774,0
15775,1
15776,0
15777,0
15778,0
15779,0
15780,0
15801,0
15802,0
15803,1
15805,0
15806,0
15807,0
16012,0
16013,0
16014,0
16015,0
16016,0
16017,0
16018,0
16019,0
16020,0
16021,0
16022,1
16023,0
16024,0
16025,1
16026,0
16027,0
16028,0
16029,0
16030,0
16031,0
16032,0
16033,0
16034,0
16035,0
16036,0
16037,0
16038,0
16039,0
16040,0
16041,0
16042,0
16043,0
16044,0
16045,0
16046,1
16047,0
16048,0
16049,1
16050,0
16051,0
16052,0
16053,0
16054,0
16055,0
16056,0
16057,0
16058,0
16059,0
16060,0
16061,0
16062,0
16063,0
16064,0
16065,0
16066,1
16067,0
16068,0
16069,1
16070,0
16071,0
16091,0
16092,0
16093,0
16094,1
16095,1
16096,0
16097,0
16098,0
16099,0
16100,0
16101,0
16102,0
16103,0
16104,0
16303,0
16304,0
16305,0
16306,0
16307,0
16308,1
16309,0
16310,1
16311,0
16312,0
16313,0
16314,0
16315,0
16316,0
16317,0
16318,0
16319,0
16320,0
16321,1
16322,0
16323,0
16324,0
16325,0
16326,0
16327,0
16328,0
16329,0
16330,0
16331,0
16332,0
16333,0
16334,0
16335,1
16336,0
16337,0
16338,1
16339,0
16340,0
16341,0
16342,0
16343,0
16344,0
16345,0
16346,0
16347,0
16348,0
16349,1
16350,1
16351,1
16352,1
16353,0
16354,0
16355,0
16356,0
16357,0
16358,1
16359,0
16360,0
16361,0
16362,0
16381,0
16382,0
16383,0
16384,1
16385,0
16386,0
16387,0
16388,1
16389,1
16390,1
16391,0
16392,0
16393,0
16394,0
16395,1
16592,1
16593,0
16594,0
16595,0
16596,0
16597,0
16598,1
16599,0
16600,0
16601,0
16602,0
16603,1
16604,0
16605,0
16606,0
16607,0
16608,0
16609,0
16610,0
16611,0
16612,0
16613,0
16614,0
16615,1
16616,0
16617,0
16618,0
16619,0
16620,0
16621,0
16622,1
16623,0
16624,0
16625,0
16626,1
16627,0
16628,0
16629,0
16630,0
16631,0
16632,0
16633,1
16634,0
16635,1
16636,0
16637,0
16638,0
16639,0
16640,0
16641,0
16642,0
16643,0
16644,1
16645,0
16646,1
16647,1
16648,0
16649,0
16650,0
16651,0
16652,0
16665,0
16666,0
16667,0
16669,0
16670,0
16671,0
16672,0
16673,0
16674,0
16675,0
16676,0
16677,1
16678,0
16679,0
16680,0
16681,0
16682,0
16683,0
